pm_id,title,pmc_id,authors,doi,keywords,mesh_ids,mesh_terms,project_serial_num,journal_name,publication_year
37590297,A capacitive laser-induced graphene based aptasensor for SARS-CoV-2 detection in human saliva.,PMC10434860,"""Moreira G, Qian H, Datta SPA, Bliznyuk N, Carpenter J, Dean D, McLamore E, Vanegas D""",doi:10.1371/journal.pone.0290256,,"""D006801, D000086402, D000086382, D006108, D007251, D053768, D058873, D012463, D010984, D007834, D009841""","""Humans, SARS-CoV-2, COVID-19, Graphite, Influenza, Human, Metal Nanoparticles, Pandemics, Saliva, Platinum, Lasers, Oligonucleotides""",AA029328,PloS one,2023
36595104,Ion-selective electrodes based on laser-induced graphene as an alternative method for nitrite monitoring.,,"""Soares RRA, Hjort RG, Pola CC, Jing D, Cecon VS, Claussen JC, Gomes CL""",doi:10.1007/s00604-022-05615-9,"""Electrochemical Sensors, Food additives, Food safety, Graphene, Potentiometry, Solid-contact ion selective electrodes""","""D006801, D017736, D006108, D009573, D014867, D007834""","""Humans, Ion-Selective Electrodes, Graphite, Nitrites, Water, Lasers""",AA029328,Mikrochimica acta,2023
36354449,An Experimental Framework for Developing Point-of-Need Biosensors: Connecting Bio-Layer Interferometry and Electrochemical Impedance Spectroscopy.,PMC9688365,"""Ullah SF, Moreira G, Datta SPA, McLamore E, Vanegas D""",doi:10.3390/bios12110938,"""SARS-CoV-2, analytical sensing, binding kinetics, biosensor design, molecular affinity, protein–protein interaction""","""D006801, D058266, D000086402, D000086382, D007368, D015374""","""Humans, Dielectric Spectroscopy, SARS-CoV-2, COVID-19, Interferometry, Biosensing Techniques""",AA029328,Biosensors,2022
35992634,Development of a Biosensor Based on Angiotensin-Converting Enzyme II for Severe Acute Respiratory Syndrome Coronavirus 2 Detection in Human Saliva.,PMC9386735,"""Moreira G, Casso-Hartmann L, Datta SPA, Dean D, McLamore E, Vanegas D""",doi:10.3389/fsens.2022.917380,"""LIG electrodes, attenuated virus, betacoronavirus, biosensing, human ACE2, saliva diagnostics""",,,AA029328,Frontiers in sensors,2022
35785019,Aerosol-jet-printed graphene electrochemical immunosensors for rapid and label-free detection of SARS-CoV-2 in saliva.,PMC9245948,"""Pola CC, Rangnekar SV, Sheets R, Szydlowska BM, Downing JR, Parate KW, Wallace SG, Tsai D, Hersam MC, Gomes CL, Claussen JC""",doi:10.1088/2053-1583/ac7339,"""COVID-19, aerosol jet printing, biosensor, electrochemical impedance spectroscopy, graphene""",,,AA029328,2d materials,2022
35200361,Context-Aware Diagnostic Specificity (CADS).,PMC8869940,"""McLamore ES, Moreira G, Vanegas DC, Datta SPA""",doi:10.3390/bios12020101,,"""D006801, D015233, D011506, D012680""","""Humans, Models, Statistical, Proteins, Sensitivity and Specificity""",AA029328,Biosensors,2022
37498298,Rapid Direct Detection of SARS-CoV-2 Aerosols in Exhaled Breath at the Point of Care.,PMC10463275,"""Ghumra DP, Shetty N, McBrearty KR, Puthussery JV, Sumlin BJ, Gardiner WD, Doherty BM, Magrecki JP, Brody DL, Esparza TJ, ""OHalloran JA"", Presti RM, Bricker TL, Boon ACM, Yuede CM, Cirrito JR, Chakrabarty RK""",doi:10.1021/acssensors.3c00512,"""SARS-CoV-2, aerosol science, biosensors, electrochemistry, virology""","""D006801, D000086402, D000086382, D019095, D000088343, D045853""","""Humans, SARS-CoV-2, COVID-19, Point-of-Care Systems, Respiratory Aerosols and Droplets, Exhalation""",AA029331,ACS sensors,2023
37429842,Real-time environmental surveillance of SARS-CoV-2 aerosols.,PMC10333287,"""Puthussery JV, Ghumra DP, McBrearty KR, Doherty BM, Sumlin BJ, Sarabandi A, Mandal AG, Shetty NJ, Gardiner WD, Magrecki JP, Brody DL, Esparza TJ, Bricker TL, Boon ACM, Yuede CM, Cirrito JR, Chakrabarty RK""",doi:10.1038/s41467-023-39419-z,,"""D006801, D000086402, D000086382, D058873, D000088343, D004784""","""Humans, SARS-CoV-2, COVID-19, Pandemics, Respiratory Aerosols and Droplets, Environmental Monitoring""",AA029331,Nature communications,2023
37284878,"High-throughput microbead assay system with a portable, cost-effective Wi-Fi imaging module, and disposable multi-layered microfluidic cartridges for virus and microparticle detection, and tracking.",PMC10244845,"""Castro JM, Sommerhage F, Khanna R, Childs A, DeRoo D, Rajaraman S""",doi:10.1007/s10544-023-00661-3,"""High-throughput assay, Microfluidic system, Microparticle tracking, Multilayered chip, Virus detection""","""D006801, D044085, D008863, D003362, D000086382, D000086402, D056656, D046210""","""Humans, Microfluidics, Microspheres, Cost-Benefit Analysis, COVID-19, SARS-CoV-2, Lab-On-A-Chip Devices, Microfluidic Analytical Techniques""",AA029345,Biomedical microdevices,2023
36909543,Rolosense: Mechanical detection of SARS-CoV-2 using a DNA-based motor.,PMC10002644,"""Piranej S, Zhang L, Bazrafshan A, Marin M, Melikyan GB, Salaita K""",doi:10.1101/2023.02.27.530294,,,,AA029345,bioRxiv : the preprint server for biology,2023
35347272,Chemical-to-mechanical molecular computation using DNA-based motors with onboard logic.,PMC9119907,"""Piranej S, Bazrafshan A, Salaita K""",doi:10.1038/s41565-022-01080-w,,"""D039301, D004247, D005453, D008128""","""Computers, Molecular, DNA, Fluorescence, Logic""",AA029345,Nature nanotechnology,2022
34309076,Programmable Mechanically Active Hydrogel-Based Materials.,PMC8595730,"""Dong Y, Ramey-Ward AN, Salaita K""",doi:10.1002/adma.202006600,"""artificial muscles, force sensors, mechanical active materials, programmable hydrogel actuators, smart skin""",,,AA029345,"Advanced materials (Deerfield Beach, Fla.)",2021
34242462,Mechanically Triggered Hybridization Chain Reaction.,PMC8390435,"""Duan Y, Glazier R, Bazrafshan A, Hu Y, Rashid SA, Petrich BG, Ke Y, Salaita K""",doi:10.1002/anie.202107660,"""biosensors, cellular receptor tension, drug screening, hybridization chain reaction, nanotechnology""","""D001241, D000077542, D006801, D009693""","""Aspirin, Eptifibatide, Humans, Nucleic Acid Hybridization""",AA029345,Angewandte Chemie (International ed. in English),2021
37206388,Aptamers 101: aptamer discovery and in vitro applications in biosensors and separations.,PMC10189874,"""Yang LF, Ling M, Kacherovsky N, Pun SH""",doi:10.1039/d3sc00439b,,,,AA029316,Chemical science,2023
35972202,SCORe: SARS-CoV-2 Omicron Variant RBD-Binding DNA Aptamer for Multiplexed Rapid Detection and Pseudovirus Neutralization.,PMC9397568,"""Yang LF, Kacherovsky N, Liang J, Salipante SJ, Pun SH""",doi:10.1021/acs.analchem.2c01993,,"""D000085962, D000914, D052157, D000086382, D006801, D012328, D000086402""","""Angiotensin-Converting Enzyme 2, Antibodies, Viral, Aptamers, Nucleotide, COVID-19, Humans, RNA Viruses, SARS-CoV-2""",AA029316,Analytical chemistry,2022
35532905,Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,PMC9112978,"""Yang LF, Kacherovsky N, Panpradist N, Wan R, Liang J, Zhang B, Salipante SJ, Lutz BR, Pun SH""",doi:10.1021/acs.analchem.2c00554,,"""D000914, D052157, D000086382, D000086663, D006801, D058873, D000086402, D064370""","""Antibodies, Viral, Aptamers, Nucleotide, COVID-19, COVID-19 Vaccines, Humans, Pandemics, SARS-CoV-2, Spike Glycoprotein, Coronavirus""",AA029316,Analytical chemistry,2022
34328683,Discovery and Characterization of Spike N-Terminal Domain-Binding Aptamers for Rapid SARS-CoV-2 Detection.,PMC8426805,"""Kacherovsky N, Yang LF, Dang HV, Cheng EL, Cardle II, Walls AC, McCallum M, Sellers DL, DiMaio F, Salipante SJ, Corti D, Veesler D, Pun SH""",doi:10.1002/anie.202107730,"""SARS-CoV-2, aptamers, coronavirus, cryo-EM, immunoassays""","""D052157, D000086382, D004797, D006801, D008958, D000086402, D064370""","""Aptamers, Nucleotide, COVID-19, Enzyme-Linked Immunosorbent Assay, Humans, Models, Molecular, SARS-CoV-2, Spike Glycoprotein, Coronavirus""",AA029316,Angewandte Chemie (International ed. in English),2021
37264756,Self-Assembly of DNA Nanostructures in Different Cations.,,"""Rodriguez A, Gandavadi D, Mathivanan J, Song T, Madhanagopal BR, Talbot H, Sheng J, Wang X, Chandrasekaran AR""",doi:10.1002/smll.202300040,"""DNA nanostructures, DNA nanotechnology, biostability, metal ions, self-assembly""",,,AA029348,"Small (Weinheim an der Bergstrasse, Germany)",2023
36963325,Rapid detection of intact SARS-CoV-2 using designer DNA Nets and a pocket-size smartphone-linked fluorimeter.,PMC10019040,"""Lee H, Wang W, Chauhan N, Xiong Y, Magazine N, Valdescruz O, Kim DY, Qiu T, Huang W, Wang X, Cunningham BT""",doi:10.1016/j.bios.2023.115228,"""Biosensor, COVID-19 testing, Designer DNA Nanostructure, Point-of-care test, Portable fluorometer, Smartphone""","""D006801, D000086402, D000086382, D000068997, D015374, D004247, D012680""","""Humans, SARS-CoV-2, COVID-19, Smartphone, Biosensing Techniques, DNA, Sensitivity and Specificity""",AA029348,Biosensors & bioelectronics,2023
36905862,A photonic resonator interferometric scattering microscope for label-free detection of nanometer-scale objects with digital precision in point-of-use environments.,PMC10072782,"""Liu L, Tibbs J, Li N, Bacon A, Shepherd S, Lee H, Chauhan N, Demirci U, Wang X, Cunningham BT""",doi:10.1016/j.bios.2023.115197,"""Automated focusing, Interferometric scattering microscopy, Label-free, Nanoparticles, Photonic crystals, Vibration isolation""","""D006801, D008853, D006046, D053768, D015374, D000086382, D000086402""","""Humans, Microscopy, Gold, Metal Nanoparticles, Biosensing Techniques, COVID-19, SARS-CoV-2""",AA029348,Biosensors & bioelectronics,2023
36832064,Review of HIV Self Testing Technologies and Promising Approaches for the Next Generation.,PMC9954708,"""Bacon A, Wang W, Lee H, Umrao S, Sinawang PD, Akin D, Khemtonglang K, Tan A, Hirshfield S, Demirci U, Wang X, Cunningham BT""",doi:10.3390/bios13020298,"""HIV self-testing, HIV viral load, LFA, biosensor, viral testing""","""D006801, D000085263, D015658, D000086382, D000086402, D000067716""","""Humans, Self-Testing, HIV Infections, COVID-19, SARS-CoV-2, Point-of-Care Testing""",AA029348,Biosensors,2023
