pub_ID,title,authors,dois,keywords,grant_num
37590297,A capacitive laser-induced graphene based aptasensor for SARS-CoV-2 detection in human saliva.,"['Moreira G', 'Qian H', 'Datta SPA', 'Bliznyuk N', 'Carpenter J', 'Dean D', 'McLamore E', 'Vanegas D']",doi: 10.1371/journal.pone.0290256,No keywords,AA029328
36595104,Ion-selective electrodes based on laser-induced graphene as an alternative method for nitrite monitoring.,"['Soares RRA', 'Hjort RG', 'Pola CC', 'Jing D', 'Cecon VS', 'Claussen JC', 'Gomes CL']",doi: 10.1007/s00604-022-05615-9,"['Electrochemical Sensors', 'Food additives', 'Food safety', 'Graphene', 'Potentiometry', 'Solid-contact ion selective electrodes']",AA029328
36354449,An Experimental Framework for Developing Point-of-Need Biosensors: Connecting Bio-Layer Interferometry and Electrochemical Impedance Spectroscopy.,"['Ullah SF', 'Moreira G', 'Datta SPA', 'McLamore E', 'Vanegas D']",doi: 10.3390/bios12110938,"['SARS-CoV-2', 'analytical sensing', 'binding kinetics', 'biosensor design', 'molecular affinity', 'protein–protein interaction']",AA029328
35992634,Development of a Biosensor Based on Angiotensin-Converting Enzyme II for Severe Acute Respiratory Syndrome Coronavirus 2 Detection in Human Saliva.,"['Moreira G', 'Casso-Hartmann L', 'Datta SPA', 'Dean D', 'McLamore E', 'Vanegas D']",pii: 917380. doi: 10.3389/fsens.2022.917380,"['LIG electrodes', 'attenuated virus', 'betacoronavirus', 'biosensing', 'human ACE2', 'saliva diagnostics']",AA029328
35785019,Aerosol-jet-printed graphene electrochemical immunosensors for rapid and label-free detection of SARS-CoV-2 in saliva.,"['Pola CC', 'Rangnekar SV', 'Sheets R', 'Szydlowska BM', 'Downing JR', 'Parate KW', 'Wallace SG', 'Tsai D', 'Hersam MC', 'Gomes CL', 'Claussen JC']",pii: 035016. doi: 10.1088/2053-1583/ac7339,"['COVID-19', 'aerosol jet printing', 'biosensor', 'electrochemical impedance spectroscopy', 'graphene']",AA029328
35200361,Context-Aware Diagnostic Specificity (CADS).,"['McLamore ES', 'Moreira G', 'Vanegas DC', 'Datta SPA']",doi: 10.3390/bios12020101,No keywords,AA029328
37429842,Real-time environmental surveillance of SARS-CoV-2 aerosols.,"['Puthussery JV', 'Ghumra DP', 'McBrearty KR', 'Doherty BM', 'Sumlin BJ', 'Sarabandi A', 'Mandal AG', 'Shetty NJ', 'Gardiner WD', 'Magrecki JP', 'Brody DL', 'Esparza TJ', 'Bricker TL', 'Boon ACM', 'Yuede CM', 'Cirrito JR', 'Chakrabarty RK']",doi: 10.1038/s41467-023-39419-z,No keywords,AA029331
37284878,"High-throughput microbead assay system with a portable, cost-effective Wi-Fi imaging module, and disposable multi-layered microfluidic cartridges for virus and microparticle detection, and tracking.","['Castro JM', 'Sommerhage F', 'Khanna R', 'Childs A', 'DeRoo D', 'Rajaraman S']",doi: 10.1007/s10544-023-00661-3,"['High-throughput assay', 'Microfluidic system', 'Microparticle tracking', 'Multilayered chip', 'Virus detection']",AA029345
35347272,Chemical-to-mechanical molecular computation using DNA-based motors with onboard logic.,"['Piranej S', 'Bazrafshan A', 'Salaita K']",doi: 10.1038/s41565-022-01080-w,No keywords,AA029345
34309076,Programmable Mechanically Active Hydrogel-Based Materials.,"['Dong Y', 'Ramey-Ward AN', 'Salaita K']",doi: 10.1002/adma.202006600,"['artificial muscles', 'force sensors', 'mechanical active materials', 'programmable hydrogel actuators', 'smart skin']",AA029345
34242462,Mechanically Triggered Hybridization Chain Reaction.,"['Duan Y', 'Glazier R', 'Bazrafshan A', 'Hu Y', 'Rashid SA', 'Petrich BG', 'Ke Y', 'Salaita K']",doi: 10.1002/anie.202107660,"['biosensors', 'cellular receptor tension', 'drug screening', 'hybridization chain reaction', 'nanotechnology']",AA029345
35972202,SCORe: SARS-CoV-2 Omicron Variant RBD-Binding DNA Aptamer for Multiplexed Rapid Detection and Pseudovirus Neutralization.,"['Yang LF', 'Kacherovsky N', 'Liang J', 'Salipante SJ', 'Pun SH']",doi: 10.1021/acs.analchem.2c01993,No keywords,AA029316
35532905,Aptamer Sandwich Lateral Flow Assay (AptaFlow) for Antibody-Free SARS-CoV-2 Detection.,"['Yang LF', 'Kacherovsky N', 'Panpradist N', 'Wan R', 'Liang J', 'Zhang B', 'Salipante SJ', 'Lutz BR', 'Pun SH']",doi: 10.1021/acs.analchem.2c00554,No keywords,AA029316
34328683,Discovery and Characterization of Spike N-Terminal Domain-Binding Aptamers for Rapid SARS-CoV-2 Detection.,"['Kacherovsky N', 'Yang LF', 'Dang HV', 'Cheng EL', 'Cardle II', 'Walls AC', 'McCallum M', 'Sellers DL', 'DiMaio F', 'Salipante SJ', 'Corti D', 'Veesler D', 'Pun SH']",doi: 10.1002/anie.202107730,"['SARS-CoV-2', 'aptamers', 'coronavirus', 'cryo-EM', 'immunoassays']",AA029316
37264756,Self-Assembly of DNA Nanostructures in Different Cations.,"['Rodriguez A', 'Gandavadi D', 'Mathivanan J', 'Song T', 'Madhanagopal BR', 'Talbot H', 'Sheng J', 'Wang X', 'Chandrasekaran AR']",doi: 10.1002/smll.202300040,"['DNA nanostructures', 'DNA nanotechnology', 'biostability', 'metal ions', 'self-assembly']",AA029348
36963325,Rapid detection of intact SARS-CoV-2 using designer DNA Nets and a pocket-size smartphone-linked fluorimeter.,"['Lee H', 'Wang W', 'Chauhan N', 'Xiong Y', 'Magazine N', 'Valdescruz O', 'Kim DY', 'Qiu T', 'Huang W', 'Wang X', 'Cunningham BT']",doi: 10.1016/j.bios.2023.115228,"['Biosensor', 'COVID-19 testing', 'Designer DNA Nanostructure', 'Point-of-care test', 'Portable fluorometer', 'Smartphone']",AA029348
36905862,A photonic resonator interferometric scattering microscope for label-free detection of nanometer-scale objects with digital precision in point-of-use environments.,"['Liu L', 'Tibbs J', 'Li N', 'Bacon A', 'Shepherd S', 'Lee H', 'Chauhan N', 'Demirci U', 'Wang X', 'Cunningham BT']",doi: 10.1016/j.bios.2023.115197,"['Automated focusing', 'Interferometric scattering microscopy', 'Label-free', 'Nanoparticles', 'Photonic crystals', 'Vibration isolation']",AA029348
