pm_id,title,pmc_id,authors,doi,keywords,mesh_ids,mesh_terms,abstract,project_serial_num,journal_name,publication_year
39064384,Batch-to-Batch Variation in Laser-Inscribed Graphene (LIG) Electrodes for Electrochemical Sensing.,PMC11279040,"['Tang Y', 'Moreira GA', 'Vanegas D', 'Datta SPA', 'McLamore ES']",doi:10.3390/mi15070874,"['LIG', 'batch', 'laser-inscribed graphene', 'manufacturing', 'scalability', 'sensor', 'variation']",[],[],"Laser-inscribed graphene (LIG) is an emerging material for micro-electronic applications and is being used to develop supercapacitors, soft actuators, triboelectric generators, and sensors. The fabrication technique is simple, yet the batch-to-batch variation of LIG quality is not well documented in the literature. In this study, we conduct experiments to characterize batch-to-batch variation in the manufacturing of LIG electrodes for applications in electrochemical sensing. Numerous batches of 36 LIG electrodes were synthesized using a CO2 laser system on polyimide film. The LIG material was characterized using goniometry, stereomicroscopy, open circuit potentiometry, and cyclic voltammetry. Hydrophobicity and electrochemical screening (cyclic voltammetry) indicate that LIG electrode batch-to-batch variation is less than 5% when using a commercial reference and counter electrode. Metallization of LIG led to a significant increase in peak current and specific capacitance (area between anodic/cathodic curve). However, batch-to-batch variation increased to approximately 30%. Two different platinum electrodeposition techniques were studied, including galvanostatic and frequency-modulated electrodeposition. The study shows that formation of metallized LIG electrodes with high specific capacitance and peak current may come at the expense of high batch variability. This design tradeoff has not been discussed in the literature and is an important consideration if scaling sensor designs for mass use is desired. This study provides important insight into the variation of LIG material properties for scalable development of LIG sensors. Additional studies are needed to understand the underlying mechanism(s) of this variability so that strategies to improve the repeatability may be developed for improving quality control. The dataset from this study is available via an open access repository.",AA029328,Micromachines,2024
38695741,Biolayer-Interferometry-Guided Functionalization of Screen-Printed Graphene for Label-Free Electrochemical Virus Detection.,,"['Szydlowska BM', 'Pola CC', 'Cai Z', 'Chaney LE', 'Hui J', 'Sheets R', 'Carpenter J', 'Dean D', 'Claussen JC', 'Gomes CL', 'Hersam MC']",doi:10.1021/acsami.4c05264,"['additive manufacturing', 'biosensing', 'electrochemical impedance spectroscopy', 'immunosensor', 'printed electronics']","['D006108', 'D000086402', 'D015374', 'D006801', 'D007368', 'D064370', 'D000086382', 'D004566', 'D055664', 'D053118']","['Graphite', 'SARS-CoV-2', 'Biosensing Techniques', 'Humans', 'Interferometry', 'Spike Glycoprotein, Coronavirus', 'COVID-19', 'Electrodes', 'Electrochemical Techniques', 'Influenza A Virus, H1N1 Subtype']","Additive manufacturing holds promise for rapid prototyping and low-cost production of biosensors for diverse pathogens. Among additive manufacturing methods, screen printing is particularly desirable for high-throughput production of sensing platforms. However, this technique needs to be combined with carefully formulated inks, rapid postprocessing, and selective functionalization to meet all requirements for high-performance biosensing applications. Here, we present screen-printed graphene electrodes that are processed with thermal annealing to achieve high surface area and electrical conductivity for sensitive biodetection via electrochemical impedance spectroscopy. As a proof-of-concept, this biosensing platform is utilized for electrochemical detection of SARS-CoV-2. To ensure reliable specificity in the presence of multiple variants, biolayer interferometry (BLI) is used as a label-free and dynamic screening method to identify optimal antibodies for concurrent affinity to the Spike S1 proteins of Delta, Omicron, and Wild Type SARS-CoV-2 variants while maintaining low affinity to competing pathogens such as Influenza H1N1. The BLI-identified antibodies are robustly bound to the graphene electrode surface via oxygen moieties that are introduced during the thermal annealing process. The resulting electrochemical immunosensors achieve superior metrics including rapid detection (55 s readout following 15 min of incubation), low limits of detection (approaching 500 ag/mL for the Omicron variant), and high selectivity toward multiple variants. Importantly, the sensors perform well on clinical saliva samples detecting as few as 103 copies/mL of SARS-CoV-2 Omicron, following CDC protocols. The combination of the screen-printed graphene sensing platform and effective antibody selection using BLI can be generalized to a wide range of point-of-care immunosensors.",AA029328,ACS applied materials & interfaces,2024
38575717,Improving high throughput manufacture of laser-inscribed graphene electrodes via hierarchical clustering.,PMC10995179,"['Qian H', 'Moreira G', 'Vanegas D', 'Tang Y', 'Pola C', 'Gomes C', 'McLamore E', 'Bliznyuk N']",doi:10.1038/s41598-024-57932-z,[],[],[],"Laser-inscribed graphene (LIG), initially developed for graphene supercapacitors, has found widespread use in sensor research and development, particularly as a platform for low-cost electrochemical sensing. However, batch-to-batch variation in LIG fabrication introduces uncertainty that cannot be adequately tracked during manufacturing process, limiting scalability. Therefore, there is an urgent need for robust quality control (QC) methodologies to identify and select similar and functional LIG electrodes for sensor fabrication. For the first time, we have developed a statistical workflow and an open-source hierarchical clustering tool for QC analysis in LIG electrode fabrication. The QC process was challenged with multi-operator cyclic voltammetry (CV) data for bare and metalized LIG. As a proof of concept, we employed the developed QC process for laboratory-scale manufacturing of LIG-based biosensors. The study demonstrates that our QC process can rapidly identify similar LIG electrodes from large batches (n ≥ 36) of electrodes, leading to a reduction in biosensor measurement variation by approximately 13% compared to the control group without QC. The statistical workflow and open-source code presented here provide a versatile toolkit for clustering analysis, opening a pathway toward scalable manufacturing of LIG electrodes in sensing. In addition, we establish a data repository for further study of LIG variation.",AA029328,Scientific reports,2024
37727605,Repurposing a SARS-CoV-2 surveillance program for infectious respiratory diseases in a university setting.,PMC10505707,"['King KL', 'Ham R', 'Smothers A', 'Lee I', 'Bowie T', 'Teetsel E', 'Peng C', 'Dean D']",doi:10.3389/fpubh.2023.1168551,"['SARS-CoV-2', 'flu', 'influenza', 'saliva', 'surveillance testing', 'virus']","['D006801', 'D000086402', 'D014495', 'D000086382', 'D007251', 'D058873', 'D003141']","['Humans', 'SARS-CoV-2', 'Universities', 'COVID-19', 'Influenza, Human', 'Pandemics', 'Communicable Diseases']","Standard multiplex RT-qPCR diagnostic tests use nasopharyngeal swabs to simultaneously detect a variety of infections, but commercially available kits can be expensive and have limited throughput. Previously, we clinically validated a saliva-based RT-qPCR diagnostic test for SARS-CoV-2 to provide low-cost testing with high throughput and low turnaround time on a university campus. Here, we developed a respiratory diagnostic panel to detect SARS-CoV-2, influenza A and B within a single saliva sample. When compared to clinical results, our assay demonstrated 93.5% accuracy for influenza A samples (43/46 concordant results) with no effect on SARS-CoV-2 accuracy or limit of detection. In addition, our assay can detect simulated coinfections at varying virus concentrations generated from synthetic RNA controls. We also confirmed the stability of influenza A in saliva at room temperature for up to 5 days. The cost of the assay is lower than standard nasopharyngeal swab respiratory panel tests as saliva collection does not require specialized swabs or trained clinical personnel. By repurposing the lab infrastructure developed for the COVID-19 pandemic, our multiplex assay can be used to provide expanded access to respiratory disease diagnostics, especially for community, school, or university testing applications where saliva testing was effectively utilized during the COVID-19 pandemic.",AA029328,Frontiers in public health,2023
37590297,A capacitive laser-induced graphene based aptasensor for SARS-CoV-2 detection in human saliva.,PMC10434860,"['Moreira G', 'Qian H', 'Datta SPA', 'Bliznyuk N', 'Carpenter J', 'Dean D', 'McLamore E', 'Vanegas D']",doi:10.1371/journal.pone.0290256,[],"['D006801', 'D000086402', 'D000086382', 'D006108', 'D007251', 'D053768', 'D058873', 'D012463', 'D010984', 'D007834', 'D009841']","['Humans', 'SARS-CoV-2', 'COVID-19', 'Graphite', 'Influenza, Human', 'Metal Nanoparticles', 'Pandemics', 'Saliva', 'Platinum', 'Lasers', 'Oligonucleotides']","SARS-CoV-2 virus induced CoVID-19 pandemic has accelerated the development of diagnostic tools. Devices integrated with electrochemical biosensors may be an interesting alternative to respond to the high demand for testing, particularly in contexts where access to standard detection technologies is lacking. Aptamers as recognition elements are useful due to their stability, specificity, and sensitivity to binding target molecules. We have developed a non-invasive electrochemical aptamer-based biosensor targeting SARS-CoV-2 in human saliva. The aptamer is expected to detect the Spike protein of SARS-CoV-2 wildtype and its variants. Laser-induced graphene (LIG) electrodes coated with platinum nanoparticles were biofunctionalized with a biotin-tagged aptamer. Electrochemical Impedance Spectroscopy (EIS) for BA.1 sensing was conducted in sodium chloride/sodium bicarbonate solution supplemented with pooled saliva. To estimate sensing performance, the aptasensor was tested with contrived samples of UV-attenuated virions from 10 to 10,000 copies/ml. Selectivity was assessed by exposing the aptasensor to non-targeted viruses (hCoV-OC43, Influenza A, and RSV-A). EIS data outputs were further used to select a suitable response variable and cutoff frequency. Capacitance increases in response to the gradual loading of the attenuated BA.1. The aptasensor was sensitive and specific for BA.1 at a lower viral load (10-100 copies/ml) and was capable of discriminating between negative and positive contrived samples (with strain specificity against other viruses: OC43, Influenza A, and RSV-A). The aptasensor detected SARS-CoV-2 with an estimated LOD of 1790 copies/ml in contrived samples. In human clinical samples, the aptasensor presents an accuracy of 72%, with 75% of positive percent of agreement and 67% of negative percent of agreement. Our results show that the aptasensor is a promising candidate to detect SARS-CoV-2 during early stages of infection when virion concentrations are low, which may be useful for preventing the asymptomatic spread of CoVID-19.",AA029328,PloS one,2023
36354449,An Experimental Framework for Developing Point-of-Need Biosensors: Connecting Bio-Layer Interferometry and Electrochemical Impedance Spectroscopy.,PMC9688365,"['Ullah SF', 'Moreira G', 'Datta SPA', 'McLamore E', 'Vanegas D']",doi:10.3390/bios12110938,"['SARS-CoV-2', 'analytical sensing', 'binding kinetics', 'biosensor design', 'molecular affinity', 'protein–protein interaction']","['D006801', 'D058266', 'D000086402', 'D000086382', 'D007368', 'D015374']","['Humans', 'Dielectric Spectroscopy', 'SARS-CoV-2', 'COVID-19', 'Interferometry', 'Biosensing Techniques']","Biolayer interferometry (BLI) is a well-established laboratory technique for studying biomolecular interactions important for applications such as drug development. Currently, there are interesting opportunities for expanding the use of BLI in other fields, including the development of rapid diagnostic tools. To date, there are no detailed frameworks for implementing BLI in target-recognition studies that are pivotal for developing point-of-need biosensors. Here, we attempt to bridge these domains by providing a framework that connects output(s) of molecular interaction studies with key performance indicators used in the development of point-of-need biosensors. First, we briefly review the governing theory for protein-ligand interactions, and we then summarize the approach for real-time kinetic quantification using various techniques. The 2020 PRISMA guideline was used for all governing theory reviews and meta-analyses. Using the information from the meta-analysis, we introduce an experimental framework for connecting outcomes from BLI experiments (KD, kon, koff) with electrochemical (capacitive) biosensor design. As a first step in the development of a larger framework, we specifically focus on mapping BLI outcomes to five biosensor key performance indicators (sensitivity, selectivity, response time, hysteresis, operating range). The applicability of our framework was demonstrated in a study of case based on published literature related to SARS-CoV-2 spike protein to show the development of a capacitive biosensor based on truncated angiotensin-converting enzyme 2 (ACE2) as the receptor. The case study focuses on non-specific binding and selectivity as research goals. The proposed framework proved to be an important first step toward modeling/simulation efforts that map molecular interactions to sensor design.",AA029328,Biosensors,2022
35992634,Development of a Biosensor Based on Angiotensin-Converting Enzyme II for Severe Acute Respiratory Syndrome Coronavirus 2 Detection in Human Saliva.,PMC9386735,"['Moreira G', 'Casso-Hartmann L', 'Datta SPA', 'Dean D', 'McLamore E', 'Vanegas D']",doi:10.3389/fsens.2022.917380,"['LIG electrodes', 'attenuated virus', 'betacoronavirus', 'biosensing', 'human ACE2', 'saliva diagnostics']",[],[],"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the novel coronavirus responsible for COVID-19. Infection in humans requires angiotensin-converting enzyme II (hACE2) as the point of entry for SARS-CoV-2. PCR testing is generally definitive but expensive, although it is highly sensitive and accurate. Biosensor-based monitoring could be a low-cost, accurate, and non-invasive approach to improve testing capacity. We develop a capacitive hACE2 biosensor for intact SARS-CoV-2 detection in saliva. Laser-induced graphene (LIG) electrodes were modified with platinum nanoparticles. The quality control of LIG electrodes was performed using cyclic voltammetry. Truncated hACE2 was used as a biorecognition element and attached to the electrode surface by streptavidin-biotin coupling. Biolayer interferometry was used for qualitative interaction screening of hACE2 with UV-attenuated virions. Electrochemical impedance spectroscopy (EIS) was used for signal transduction. Truncated hACE2 binds wild-type SARS-CoV-2 and its variants with greater avidity than human coronavirus (common cold virus). The limit of detection (LoD) is estimated to be 2,960 copies/ml. The detection process usually takes less than 30 min. The strength of these features makes the hACE2 biosensor a potentially low-cost approach for screening SARS-CoV-2 in non-clinical settings with high demand for rapid testing (for example, schools and airports).",AA029328,Frontiers in sensors,2022
35785019,Aerosol-jet-printed graphene electrochemical immunosensors for rapid and label-free detection of SARS-CoV-2 in saliva.,PMC9245948,"['Pola CC', 'Rangnekar SV', 'Sheets R', 'Szydlowska BM', 'Downing JR', 'Parate KW', 'Wallace SG', 'Tsai D', 'Hersam MC', 'Gomes CL', 'Claussen JC']",doi:10.1088/2053-1583/ac7339,"['COVID-19', 'aerosol jet printing', 'biosensor', 'electrochemical impedance spectroscopy', 'graphene']",[],[],"Rapid, inexpensive, and easy-to-use coronavirus disease 2019 (COVID-19) home tests are key tools in addition to vaccines in the world-wide fight to eliminate national and local shutdowns. However, currently available tests for SARS-CoV-2, the virus that causes COVID-19, are too expensive, painful, and irritating, or not sufficiently sensitive for routine, accurate home testing. Herein, we employ custom-formulated graphene inks and aerosol jet printing (AJP) to create a rapid electrochemical immunosensor for direct detection of SARS-CoV-2 Spike Receptor-Binding Domain (RBD) in saliva samples acquired non-invasively. This sensor demonstrated limits of detection that are considerably lower than most commercial SARS-CoV-2 antigen tests (22.91 ± 4.72 pg/mL for Spike RBD and 110.38 ± 9.00 pg/mL for Spike S1) as well as fast response time (~30 mins), which was facilitated by the functionalization of printed graphene electrodes in a single-step with SARS-CoV-2 polyclonal antibody through the carbodiimide reaction without the need for nanoparticle functionalization or secondary antibody or metallic nanoparticle labels. This immunosensor presents a wide linear sensing range from 1 to 1000 ng/mL and does not react with other coexisting influenza viruses such as H1N1 hemagglutinin. By combining high-yield graphene ink synthesis, automated printing, high antigen selectivity, and rapid testing capability, this work offers a promising alternative to current SARS-CoV-2 antigen tests.",AA029328,2d materials,2022
35200361,Context-Aware Diagnostic Specificity (CADS).,PMC8869940,"['McLamore ES', 'Moreira G', 'Vanegas DC', 'Datta SPA']",doi:10.3390/bios12020101,[],"['D006801', 'D015233', 'D011506', 'D012680']","['Humans', 'Models, Statistical', 'Proteins', 'Sensitivity and Specificity']",Rapid detection of proteins is critical in a vast array of diagnostic or monitoring applications [...].,AA029328,Biosensors,2022
37498298,Rapid Direct Detection of SARS-CoV-2 Aerosols in Exhaled Breath at the Point of Care.,PMC10463275,"['Ghumra DP', 'Shetty N', 'McBrearty KR', 'Puthussery JV', 'Sumlin BJ', 'Gardiner WD', 'Doherty BM', 'Magrecki JP', 'Brody DL', 'Esparza TJ', ""O'Halloran JA"", 'Presti RM', 'Bricker TL', 'Boon ACM', 'Yuede CM', 'Cirrito JR', 'Chakrabarty RK']",doi:10.1021/acssensors.3c00512,"['SARS-CoV-2', 'aerosol science', 'biosensors', 'electrochemistry', 'virology']","['D006801', 'D000086402', 'D000086382', 'D019095', 'D000088343', 'D045853']","['Humans', 'SARS-CoV-2', 'COVID-19', 'Point-of-Care Systems', 'Respiratory Aerosols and Droplets', 'Exhalation']","Airborne transmission via virus-laden aerosols is a dominant route for the transmission of respiratory diseases, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Direct, non-invasive screening of respiratory virus aerosols in patients has been a long-standing technical challenge. Here, we introduce a point-of-care testing platform that directly detects SARS-CoV-2 aerosols in as little as two exhaled breaths of patients and provides results in under 60 s. It integrates a hand-held breath aerosol collector and a llama-derived, SARS-CoV-2 spike-protein specific nanobody bound to an ultrasensitive micro-immunoelectrode biosensor, which detects the oxidation of tyrosine amino acids present in SARS-CoV-2 viral particles. Laboratory and clinical trial results were within 20% of those obtained using standard testing methods. Importantly, the electrochemical biosensor directly detects the virus itself, as opposed to a surrogate or signature of the virus, and is sensitive to as little as 10 viral particles in a sample. Our platform holds the potential to be adapted for multiplexed detection of different respiratory viruses. It provides a rapid and non-invasive alternative to conventional viral diagnostics.",AA029331,ACS sensors,2023
